,0
12,12
2,6
3,17
4,115
5,1
6,8
7,1
80s,9
Christmas,19
EDM,7
Howard_Jones,1
I6–IV–V,2
Latin_jazz,2
Steely_Dan,1
Stranger_Things,1
Top_Gun,1
Westminster_chimes,1
accordion,12
aeolian,1
arpeggiated,95
auxiliary_percussion,17
backward_playback,1
bagpipes,1
bass,54
bells,1
bluesy,2
boogie-woogie,2
brass,37
breakbeat,2
brushes,1
chiptune,7
chromatic_mediants,3
clavinet,1
detuned,3
disco,1
dorian,1
drums,72
extended_tertian,4
falling_fifths,1
four_on_the_floor,1
funk,1
gliss,4
glockenflute,1
guitar,36
half-time,1
high_reverb,129
jazz,1
jazz_orchestra,1
jazz_waltz,1
jig,1
lament,11
light_drums,2
low_reverb,29
majorish,93
maracas,1
metallic_percussion,117
military,10
minor_iv,4
minorish,62
modal,45
no_bass,3
no_drums,51
no_tonality,3
offbeat_8ths,2
orchestra,16
organ,17
pentatonic,1
percussion,114
percussion_brushes,1
percussion_drum,4
piano,68
plucked_strings,66
polka,2
rapid_bass_line,2
rapid_notes,10
rock,43
samba,1
shuffle,4
son,1
strings,101
sus_chords,2
sus_tonic,1
sweeps,8
swing,1
synth,65
techno,1
train,6
treble_vocals,1
tresillo,1
trumpet,7
vocals,38
walking_bass,1
waltz,1
whistle,1
whistle_tone,1
wind_effect,5
woodwinds,87
